NQ100
dátum;pr Doll;pr Perc
2019.04.16;-738.72;-0.15
2019.04.17;-2.26;-0.00
2019.04.23;3097.43;0.59
2019.04.24;2684.48;0.52
2019.04.30;195.75;0.03
2019.05.01;-1714.68;-0.27
2019.05.02;1595.14;0.27

