instrumentum;darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
manual_GOLD;22;2.20;-62659.88;7;15;31.8;6948.64;-7420.02;0.9;0.4;5;0
manual_SP500;85;148.30;207103.68;50;35;58.8;7373.54;-4616.38;1.6;2.3;16;3
