Strategy;OpenTime;Type;Size;Symbol;OpenPrice;SL;TP;CloseTime;ClosePrice;Commission;Swap;Profit;comment
Depo;2018-10-17 10:57:21;balance;0.01;;0.00000;0.00000;0.00000;2018-10-17 10:57:21;0.00000;0.00;0.00;300000.00;Dep bank: UniCredit HU Bank
Fee;2018-10-17 11:07:28;balance;0.01;;0.00000;0.00000;0.00000;2018-10-17 11:07:28;0.00000;0.00;0.00;-2970.30;Fee: transfer to INTER
Depo;2018-10-17 11:07:28;balance;0.01;;0.00000;0.00000;0.00000;2018-10-17 11:07:28;0.00000;0.00;0.00;-297029.70;Transfer to INTER|27018855
Depo;2018-11-14 16:38:45;balance;0.01;;0.00000;0.00000;0.00000;2018-11-14 16:38:45;0.00000;0.00;0.00;200000.00;Dep bank: UniCredit HU Bank
Fee;2018-11-14 16:53:01;balance;0.01;;0.00000;0.00000;0.00000;2018-11-14 16:53:01;0.00000;0.00;0.00;-1980.20;Fee: transfer to INTER
Depo;2018-11-14 16:53:01;balance;0.01;;0.00000;0.00000;0.00000;2018-11-14 16:53:01;0.00000;0.00;0.00;-198019.80;Transfer to INTER|27018855
Depo;2018-12-21 10:41:49;balance;0.01;;0.00000;0.00000;0.00000;2018-12-21 10:41:49;0.00000;0.00;0.00;200000.00;Dep bank: UniCredit HU Bank
Fee;2018-12-21 11:07:33;balance;0.01;;0.00000;0.00000;0.00000;2018-12-21 11:07:33;0.00000;0.00;0.00;-1980.00;Fee: transfer to INTER
Depo;2018-12-21 11:07:33;balance;0.01;;0.00000;0.00000;0.00000;2018-12-21 11:07:33;0.00000;0.00;0.00;-198000.00;Transfer to INTER|27018855
Depo;2019-02-05 10:51:28;balance;0.01;;0.00000;0.00000;0.00000;2019-02-05 10:51:28;0.00000;0.00;0.00;250000.00;Dep bank: UniCredit HU Bank
Depo;2019-02-05 12:18:51;balance;0.01;;0.00000;0.00000;0.00000;2019-02-05 12:18:51;0.00000;0.00;0.00;-250020.00;Transfer to INTER|27018855
Depo;2019-03-27 23:03:44;balance;0.01;;0.00000;0.00000;0.00000;2019-03-27 23:03:44;0.00000;0.00;0.00;288359.08;Transfer from INTER|27018855
manual;2019-03-28 00:07:37;buy;0.10;GOLD;1310.16000;1294.64000;1424.65200;2019-03-28 10:21:03;1308.59000;0.00;0.00;-4467.12;
Adj;2019-03-29 02:33:44;balance;0.01;;0.00000;0.00000;0.00000;2019-03-29 02:33:44;0.00000;0.00;0.00;35.82;Adj: ex-div [SP500] #52976667
Adj;2019-03-29 02:33:44;balance;0.01;;0.00000;0.00000;0.00000;2019-03-29 02:33:44;0.00000;0.00;0.00;71.63;Adj: ex-div [SP500] #52976200
Adj;2019-03-29 02:33:45;balance;0.01;;0.00000;0.00000;0.00000;2019-03-29 02:33:45;0.00000;0.00;0.00;35.82;Adj: ex-div [SP500] #52978286
Adj;2019-03-29 02:33:47;balance;0.01;;0.00000;0.00000;0.00000;2019-03-29 02:33:47;0.00000;0.00;0.00;35.82;Adj: ex-div [SP500] #52989297
Adj;2019-03-29 02:33:47;balance;0.01;;0.00000;0.00000;0.00000;2019-03-29 02:33:47;0.00000;0.00;0.00;35.82;Adj: ex-div [SP500] #52991909
Adj;2019-03-29 02:33:47;balance;0.01;;0.00000;0.00000;0.00000;2019-03-29 02:33:47;0.00000;0.00;0.00;35.82;Adj: ex-div [SP500] #52990507
Adj;2019-04-01 02:34:00;balance;0.01;;0.00000;0.00000;0.00000;2019-04-01 02:34:00;0.00000;0.00;0.00;5.84;Adj: ex-div [SP500] #52976667
Adj;2019-04-01 02:34:00;balance;0.01;;0.00000;0.00000;0.00000;2019-04-01 02:34:00;0.00000;0.00;0.00;5.84;Adj: ex-div [SP500] #52978286
