instrumentum;darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor
robot;25;5.70;8742.61;11;14;44.0;1335.12;-424.55;3.1;2.5
NQ100;15;1.70;5117.14;6;9;40.0;1390.61;-358.50;3.9;2.6
EURJPY;1;0.02;166.39;1;0;100.0;166.39;0.00;0.0;1.0
SP500;5;3.70;-441.60;1;4;20.0;977.76;-354.84;2.8;0.7
USDCAD;3;0.08;-678.64;2;1;66.7;309.60;-1297.84;0.2;0.5
FTSE100;1;0.20;4579.32;1;0;100.0;4579.32;0.00;0.0;1.0
