statisztika;
darab;0
lots;0.00
hozam;0.00
nyer‹ db;0
veszt‹ db;0
tal lati ar ny;0.0
 tlag nyer‹;0.00
 tlag veszt‹;0.00
RR ar ny;0.0
profit faktor;
