SP500_H_ADX;SP500;H;ADX
darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
1;1.30;977.76;1;0;100.0;977.76;0.00;0.0;1.0;0;0

nap;hétfõ;kedd;szerda;csütörtök;péntek
darab;0;0;1;0;0
hozam;0.00;0.00;977.76;0.00;0.00

óra;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
darab;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hozam;0.00;0.00;0.00;0.00;0.00;0.00;0.00;977.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00

