nr;manual;type;size;oPrice;cTime;cPrice;hossz(percben);komment;profit$;profit%;calcDate;hozam$;hoz%
229;2018.12.19 21:05;buy;0.50;6478.40000;2018.12.19 21:08;6453.34000;3.0;;-12.53;-0.64;;-12.53;-0.64
230;2018.12.19 21:08;sell;0.70;6452.11000;2018.12.19 21:14;6434.88000;5.0;;12.06;0.62;;12.06;0.62
231;2018.12.19 21:08;sell;3.00;2543.79000;2018.12.19 21:14;2539.22000;5.0;;13.71;0.70;;13.71;0.70
232;2018.12.19 21:17;buy;1.00;2546.16000;2018.12.19 21:20;2549.23000;3.0;;3.07;0.16;;3.07;0.16
233;2018.12.19 21:15;buy;0.20;6446.24000;2018.12.19 21:20;6462.21000;4.0;;3.19;0.16;;3.19;0.16
234;2018.12.19 21:21;buy;1.00;2550.88000;2018.12.19 21:26;2551.96000;5.0;;1.08;0.05;;1.08;0.05
235;2018.12.19 21:23;buy;0.20;6477.46000;2018.12.19 21:26;6482.53000;3.0;;1.01;0.05;;1.01;0.05
236;2018.12.19 21:21;buy;0.20;6467.41000;2018.12.19 21:26;6482.65000;5.0;;3.05;0.15;;3.05;0.15
237;2018.12.19 22:23;sell;0.30;6317.19000;2018.12.19 22:24;6357.06000;1.0;[sl];-11.96;-0.60;;-11.96;-0.60
238;2018.12.19 22:27;sell;0.50;6342.82000;2018.12.19 22:32;6336.64000;5.0;;3.09;0.16;;3.09;0.16
239;2018.12.19 22:35;sell;0.60;6336.28000;2018.12.19 22:41;6312.47000;6.0;;14.29;0.72;;14.29;0.72
240;2018.12.19 22:42;sell;0.30;6307.47000;2018.12.19 22:50;6352.40000;8.0;[sl];-13.48;-0.67;;-13.48;-0.67
241;2018.12.19 22:47;sell;0.30;6328.72000;2018.12.19 22:51;6352.78000;3.0;[sl];-7.22;-0.36;2018.12.19;-7.22;-0.36
