manual;SP500;;Manuális
darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
107;150.50;144443.80;57;50;53.3;7321.36;-5457.47;1.3;1.5;21;3

nap;hétfõ;kedd;szerda;csütörtök;péntek
darab;22;16;10;43;16
hozam;39923.65;-40677.66;-78842.56;180906.79;43133.58

óra;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
darab;1;0;0;1;0;1;0;4;4;3;5;7;3;8;6;6;7;9;10;6;13;3;3;7
hozam;-4467.12;0.00;0.00;12825.83;0.00;-14122.59;0.00;20482.23;6600.04;11824.33;107473.19;765.89;364.44;57164.48;-39786.38;-8869.87;17362.41;-28085.83;6314.83;12217.20;6906.61;-5190.39;5883.29;-21218.79

