USDCAD;USDCAD;H;TSQ
darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
3;0.08;-678.64;2;1;66.7;309.60;-1297.84;0.2;0.5;1;0

nap;hétfõ;kedd;szerda;csütörtök;péntek
darab;1;0;0;2;0
hozam;533.74;0.00;0.00;-1212.38;0.00

óra;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
darab;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
hozam;0.00;0.00;0.00;0.00;0.00;85.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1297.84;0.00;0.00;0.00;533.74;0.00;0.00;0.00;0.00

