robot;NQ100;H;MSR
darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
25;5.70;8742.61;11;14;44.0;1335.12;-424.55;3.1;2.5;5;0

nap;hétfõ;kedd;szerda;csütörtök;péntek
darab;3;11;7;4;0
hozam;4402.01;532.07;-1153.55;4962.08;0.00

óra;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
darab;0;1;0;0;0;1;0;1;0;5;0;0;3;1;0;3;1;2;0;4;2;0;0;1
hozam;0.00;195.75;0.00;0.00;0.00;85.46;0.00;977.76;0.00;850.04;0.00;0.00;-786.83;-1714.68;0.00;-1664.10;4579.32;2684.48;0.00;4326.59;-28.00;0.00;0.00;-763.18

