robot_TSQ;USDCAD;H;TSQ
darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
1;0.01;533.74;1;0;100.0;533.74;0.00;0.0;1.0;1;0

nap;hétfõ;kedd;szerda;csütörtök;péntek
darab;1;0;0;0;0
hozam;533.74;0.00;0.00;0.00;0.00

óra;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
darab;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
hozam;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;533.74;0.00;0.00;0.00;0.00

