robot
dátum;pr Doll;pr Perc
2019.04.16;-738.72;-0.15
2019.04.17;164.13;0.03
2019.04.23;3097.43;0.59
2019.04.24;2242.88;0.43
2019.04.25;85.46;0.01
2019.04.26;-1297.84;-0.22
2019.04.30;195.75;0.03
2019.05.01;-1180.94;-0.18
2019.05.02;6174.46;1.05

